STATECD,COUNTYCD,PLOT,start_year,end_year,mortality_pct
17,39,20043,2016,2023,0.0
17,39,20059,2002,2007,0.0
17,39,20059,2007,2012,0.0
17,39,20059,2012,2018,4.761904761904762
17,41,41,1985,1998,0.0
17,41,20002,2001,2006,0.0
17,41,20002,2006,2011,0.0
17,41,20002,2011,2017,5.0
17,41,20002,2017,2024,5.2631578947368425
17,41,20077,2003,2008,0.0
17,41,20077,2008,2013,2.5
17,41,20077,2013,2019,5.128205128205129
17,43,20009,2002,2007,0.0
17,43,20009,2007,2012,15.0
17,43,20009,2012,2019,23.529411764705884
17,43,20014,2003,2008,28.571428571428573
17,43,20014,2008,2013,0.0
17,43,20014,2013,2019,0.0
17,43,20036,2005,2010,0.0
17,43,20044,2007,2012,0.0
17,43,20044,2012,2019,26.666666666666668
17,45,98,1985,1998,0.0
17,45,104,1985,1998,0.0
17,45,20006,2005,2010,0.0
17,45,20006,2010,2015,0.0
17,45,20093,2001,2006,0.0
17,45,20093,2006,2011,7.142857142857143
17,45,20093,2011,2017,0.0
17,45,20096,2004,2009,0.0
17,45,20098,2007,2012,0.0
17,45,20098,2012,2018,0.0
17,47,18,1985,1998,32.0
17,47,21,1985,1998,0.0
17,47,33,1985,1998,0.0
17,47,20005,2005,2010,0.0
17,47,20005,2010,2015,0.0
17,47,20005,2015,2022,0.0
17,47,20013,2004,2009,0.0
17,47,20013,2009,2015,0.0
17,47,20013,2015,2022,0.0
17,47,20015,2003,2008,0.0
17,47,20015,2008,2013,0.0
17,47,20015,2013,2019,0.0
17,47,20026,2002,2007,0.0
17,47,20026,2007,2012,0.0
17,47,20031,2004,2009,0.0
17,47,20031,2009,2014,0.0
17,47,20031,2014,2021,23.529411764705884
17,47,20051,2005,2010,0.0
17,47,20051,2010,2016,0.0
17,47,20051,2016,2023,0.0
17,49,5,1985,1998,38.46153846153846
17,49,20,1985,1998,28.125
17,49,23,1985,1998,0.0
17,49,25,1985,1998,0.0
17,49,26,1985,1998,0.0
17,49,27,1985,1998,8.571428571428571
17,49,29,1985,1998,39.39393939393939
17,49,43,1985,1998,20.512820512820515
17,49,46,1985,1998,22.641509433962263
17,49,54,1985,1998,18.42105263157895
17,49,55,1985,1998,0.0
17,49,58,1985,1998,0.0
17,49,74,1985,1998,0.0
17,49,78,1985,1998,27.5
17,49,80,1985,1998,14.583333333333334
17,49,81,1985,1998,40.0
17,49,85,1985,1998,0.0
17,49,20004,2003,2008,30.76923076923077
17,49,20014,2001,2006,0.0
17,49,20014,2006,2011,0.0
17,49,20014,2011,2017,4.444444444444445
17,49,20014,2017,2024,34.883720930232556
17,49,20018,2005,2010,0.0
17,49,20018,2010,2015,0.0
17,49,20018,2015,2022,0.0
17,49,20025,2005,2010,4.3478260869565215
17,49,20025,2010,2016,0.0
17,49,20025,2016,2023,3.4482758620689653
17,49,20028,2004,2009,0.0
17,49,20028,2009,2014,0.0
17,49,20028,2014,2021,10.0
17,49,20031,2004,2009,0.0
17,49,20031,2009,2014,0.0
17,49,20031,2014,2021,0.0
17,49,20041,2013,2020,0.0
17,49,20048,2004,2009,0.0
17,49,20048,2009,2014,0.0
